NZ_CP054478.1	edge_7	0.0882637	0	85/1000
NZ_CP054478.1	edge_24	0.0887833	0	84/1000
AP022358.1	edge_27	0.0955937	0	72/1000
CP028389.3	edge_27	0.0696435	0	131/1000
CP038004.1	edge_27	0.0914855	0	79/1000
CP050155.1	edge_27	0.0579033	0	174/1000
CP050168.1	edge_27	0.0737105	0	119/1000
CP050170.1	edge_27	0.0716227	0	125/1000
CP052137.1	edge_27	0.0937829	0	75/1000
CP052148.1	edge_27	0.0829489	0	96/1000
CP052164.1	edge_27	0.0496454	0	214/1000
CP052176.1	edge_27	0.0887833	0	84/1000
CP052214.1	edge_27	0.0794837	0	104/1000
CP052218.1	edge_27	0.0579033	0	174/1000
CP052243.1	edge_27	0.0914855	0	79/1000
CP052263.1	edge_27	0.0778587	0	108/1000
CP052266.1	edge_27	0.0937829	0	75/1000
CP052279.1	edge_27	0.0981375	0	68/1000
CP052287.1	edge_27	0.0755413	0	114/1000
CP052288.1	edge_27	0.0786628	0	106/1000
CP052296.1	edge_27	0.0937829	0	75/1000
CP052302.1	edge_27	0.0943778	0	74/1000
CP052307.1	edge_27	0.080322	0	102/1000
CP052330.1	edge_27	0.0523149	0	200/1000
CP052337.1	edge_27	0.0931964	0	76/1000
CP052338.1	edge_27	0.0547827	0	188/1000
CP052358.1	edge_27	0.0552118	0	186/1000
CP052364.1	edge_27	0.051337	0	205/1000
CP052374.1	edge_27	0.0511448	0	206/1000
CP052380.1	edge_27	0.0937829	0	75/1000
CP052401.1	edge_27	0.0882637	0	85/1000
CP052405.1	edge_27	0.064825	0	147/1000
CP052408.1	edge_27	0.0834041	0	95/1000
CP052415.1	edge_27	0.0914855	0	79/1000
CP052435.1	edge_27	0.0920479	0	78/1000
CP052436.1	edge_27	0.0525139	0	199/1000
CP052438.1	edge_27	0.0393656	0	280/1000
CP052441.1	edge_27	0.0914855	0	79/1000
CP052450.1	edge_27	0.0937829	0	75/1000
CP052469.1	edge_27	0.0943778	0	74/1000
CP052477.1	edge_27	0.0903831	0	81/1000
CP052491.1	edge_27	0.0887833	0	84/1000
CP052506.1	edge_27	0.0829489	0	96/1000
CP052521.1	edge_27	0.0937829	0	75/1000
CP052525.1	edge_27	0.0723061	0	123/1000
CP052534.1	edge_27	0.0981375	0	68/1000
CP052535.1	edge_27	0.0824989	0	97/1000
CP052538.1	edge_27	0.0914855	0	79/1000
CP052540.1	edge_27	0.0539403	0	192/1000
CP052545.1	edge_27	0.0937829	0	75/1000
CP052553.1	edge_27	0.0491	0	217/1000
CP052564.1	edge_27	0.0494626	0	215/1000
CP052566.1	edge_27	0.0590885	0	169/1000
HG969995.1	edge_27	0.0563082	0	181/1000
HG969996.1	edge_27	0.0593303	0	168/1000
HG969997.1	edge_27	0.0567566	0	179/1000
HG969998.1	edge_27	0.0552118	0	186/1000
KT896504.1	edge_27	0.080322	0	102/1000
KY798505.1	edge_27	0.0586096	0	171/1000
