edge_123	edge_123	316
edge_123	edge_127	2
edge_127	edge_127	186
edge_555	edge_555	1655
edge_555	edge_778	6
edge_3974	edge_555	2
edge_778	edge_778	2003
edge_2824	edge_778	2
edge_4028	edge_778	2
edge_798	edge_798	741
edge_3097	edge_798	2
edge_3512	edge_798	2
edge_3637	edge_798	5
edge_1381	edge_1381	27
edge_1382	edge_1382	46
edge_1394	edge_1394	2
edge_1430	edge_1430	83
edge_2055	edge_2055	82
edge_2055	edge_4033	3
edge_2178	edge_2178	7
edge_2418	edge_2418	2
edge_2543	edge_2543	270
edge_2599	edge_2599	1178
edge_2824	edge_2824	90
edge_2857	edge_2857	17
edge_2866	edge_2866	139
edge_2867	edge_2867	11
edge_2867	edge_2868	3
edge_2868	edge_2868	38
edge_2995	edge_2995	439
edge_3038	edge_3038	240
edge_3038	edge_3370	2
edge_3051	edge_3051	35
edge_3052	edge_3052	25
edge_3097	edge_3097	134
edge_3235	edge_3235	26
edge_3235	edge_3515	2
edge_3370	edge_3370	253
edge_3512	edge_3512	73
edge_3515	edge_3515	76
edge_3637	edge_3637	47
edge_3654	edge_3654	70
edge_3658	edge_3658	188
edge_3692	edge_3692	25
edge_3806	edge_3806	140
edge_3809	edge_3809	10
edge_3869	edge_3869	174
edge_3887	edge_3887	41
edge_3890	edge_3890	5
edge_3897	edge_3897	18
edge_3911	edge_3911	2
edge_3935	edge_3935	15
edge_3939	edge_3939	11
edge_3940	edge_3940	15
edge_3941	edge_3941	121
edge_3956	edge_3956	210
edge_3957	edge_3957	3
edge_3974	edge_3974	498
edge_3983	edge_3983	472
edge_3989	edge_3989	186
edge_4002	edge_4002	283
edge_4004	edge_4004	44
edge_4015	edge_4015	18
edge_4027	edge_4027	40
edge_4028	edge_4028	358
edge_4030	edge_4030	54
edge_4033	edge_4033	85
