#FILE	NUM_FOUND	aac(3)-IId	aac(3)-Ib	aac(3)-VIa	aac(6')-Ib'	aac(6')-Ib-AKT	aac(6')-Ib-D181Y	aac(6')-Ib-cr5	aac(6')-Ib4	aadA1	aadA16	aadA2	aadA5	ant(2'')-Ia	ant(3'')-IIa	aph(3'')-Ib	aph(3')-IIb	aph(3')-Ia	aph(3')-VIa	aph(6)-Id	arr-7	blaADC-165	blaADC-32	blaCMY-2	blaCMY-34	blaCMY-42	blaCTX-M-15	blaCTX-M-27	blaDHA-1	blaDHA-17	blaEC-5	blaKPC-2	blaMCA	blaMIR-10	blaMIR-18	blaNDM-5	blaOXA-1	blaOXA-10	blaOXA-120	blaOXA-180	blaOXA-35	blaOXA-488	blaOXA-500	blaOXA-58	blaOXA-72	blaOXA-726	blaOXY-1-4	blaPDC-374	blaPOM-1	blaSHV-145	blaSHV-187	blaTEM-1	blaVIM-4	ble-MBL	catA2	catA4	catB7	cepS	cmlA1	cmlB1	cphA7	crpP	dfrA1	dfrA12	dfrA14	dfrA17	erm(B)	floR	fosA	fosA-354827590	fosA6	fosA_gen	imiH	lnu(F)	lsa(A)	mcr-10.1	mph(A)	mph(E)	msr(E)	oqxA10	oqxA6	oqxB20	oqxB9	qepA8	qnrB1	qnrB4	qnrS1	qnrS2	qnrVC1	sat2_gen	sul1	sul2	sul3	tet(39)	tet(A)	tet(B)	tet(E)	tet(J)	tet(X)
abricate_SH.tsv	64	100.00;100.00	.	.	100.00	100.00;100.00;100.00;100.00	.	.	.	100.00	95.27	100.00;100.00	100.00;100.00	.	100.00	98.55;99.88;99.88;99.88;99.88;99.88;99.88	100.00	100.00	100.00	100.00;100.00;100.00;100.00;100.00;100.00	100.00	.	100.00	.	100.00	100.00;100.00	100.00	.	.	99.82	100.00	.	100.00;100.00;100.00	.	100.00	.	.	.	100.00	.	100.00;100.00;100.00	100.00	.	100.00	100.00	99.75	.	100.00	100.00	100.00	.	100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00	100.00	.	100.00	99.85	100.00	99.83	100.00	.	100.00	100.00;100.00;100.00	.	100.00	100.00	100.00;100.00;100.00;100.00	100.00;100.00	100.00;100.00	100.00	100.00	.	99.76;97.62	.	100.00	.	100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00	98.00	.	.	.	.	.	100.00;100.00;100.00	.	.	100.00;100.00;100.00	100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00	100.00	100.00	99.92;99.92;99.92;99.92;99.92;99.75	100.00;100.00	.	100.00	99.65
abricate_WG.tsv	86	100.00;100.00	99.78	100.00	100.00	100.00	100.00	100.00	100.00	100.00;100.00;100.00;100.00;100.00	.	100.00;100.00	100.00	81.09	100.00	99.88;99.88;98.43	100.00	100.00;100.00;100.00;100.00	100.00	100.00;87.57	100.00	100.00	.	100.00;100.00	.	.	100.00	100.00	100.00	.	100.00	100.00	99.66;100.00;100.00	100.00	.	100.00	100.00	100.00	.	100.00	100.00	100.00	99.88	100.00;100.00	100.00;99.88;99.88	100.00	99.89	100.00	100.00	.	100.00	100.00;100.00	100.00	99.73	.	99.85	100.00	99.65	99.84	100.00	.	100.00	100.00;100.00	100.00	100.00;100.00	100.00;100.00	100.00	100.00;100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.46	100.00	100.00;100.00	100.00;100.00	100.00;83.13;100.00	99.91;99.57	.	99.90	98.57	99.87	100.00	100.00	100.00	100.00;98.33	99.85	100.00	100.00;100.00;100.00;100.00	100.00;100.00;100.00;100.00;99.88;99.75	100.00	100.00;100.00	99.92;100.00	100.00	95.81	100.00	.
